Name,Total_ct,ERP002469,ERP003612,ERP004605,ERP005534,ERP005860,ERP005989,ERP008729,ERP009131,ERP010700,ERP012177,ERP012929,ERP012929a,ERP012929b,ERP013562,ERP013933,ERP016813,SRP008047,SRP011011,SRP045211,SRP056054,SRP066479,SRP067325,SRP069019,SRP076620,SRP080787,SRP090628,SRP090628a,SRP090628b,SRP096283,SRP096283a,SRP096283b,SRP100446,SRP100575
ERP002469,879593.0,-1.0,649430.0,691627.0,619693.0,374778.0,554078.0,625419.0,392373.0,711551.0,477824.0,-1.0,628581.0,628262.0,481427.0,553454.0,428180.0,382431.0,456764.0,306484.0,115982.0,97969.0,261417.0,37596.0,160020.0,301437.0,125161.0,115552.0,105148.0,-1.0,338980.0,334613.0,264680.0,315156.0
ERP003612,1419355.0,-1.0,-1.0,1085238.0,862178.0,495728.0,752721.0,816445.0,538696.0,1046505.0,650755.0,-1.0,911797.0,921947.0,670129.0,779267.0,566528.0,509270.0,641191.0,391358.0,140907.0,121964.0,327181.0,41286.0,200573.0,435880.0,156865.0,139594.0,125305.0,-1.0,428270.0,417955.0,305744.0,418161.0
ERP004605,1738513.0,-1.0,-1.0,-1.0,991044.0,561496.0,876645.0,970176.0,593883.0,1198127.0,776597.0,-1.0,996263.0,1008616.0,823767.0,879858.0,692394.0,591800.0,765389.0,473788.0,156034.0,135401.0,340492.0,61778.0,230231.0,477839.0,182294.0,161742.0,144320.0,-1.0,454505.0,444336.0,339462.0,469335.0
ERP005534,1352940.0,-1.0,-1.0,-1.0,-1.0,509449.0,735256.0,832873.0,503185.0,964416.0,671649.0,-1.0,814911.0,826193.0,708055.0,755240.0,595577.0,519201.0,644483.0,413023.0,140373.0,121630.0,311935.0,58468.0,200206.0,409880.0,167775.0,148926.0,132681.0,-1.0,400139.0,392731.0,310897.0,419041.0
ERP005860,871126.0,-1.0,-1.0,-1.0,-1.0,-1.0,505488.0,502869.0,363428.0,549920.0,546062.0,-1.0,520010.0,510928.0,618436.0,475540.0,542796.0,517395.0,602010.0,398728.0,122687.0,92499.0,257199.0,69777.0,185497.0,303262.0,138582.0,131085.0,112891.0,-1.0,271674.0,271608.0,257310.0,409485.0
ERP005989,1296671.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,826739.0,544286.0,895345.0,677729.0,-1.0,684682.0,691081.0,718422.0,733771.0,634924.0,536473.0,657110.0,456909.0,167172.0,106262.0,334066.0,86034.0,248260.0,366582.0,186276.0,173395.0,155560.0,-1.0,330159.0,317414.0,341257.0,435267.0
ERP008729,1405277.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,549308.0,988449.0,733594.0,-1.0,741953.0,757214.0,724073.0,761091.0,645444.0,537300.0,660010.0,459222.0,157745.0,114792.0,337236.0,67731.0,216579.0,392774.0,164743.0,154883.0,139147.0,-1.0,353455.0,349995.0,333227.0,433863.0
ERP009131,953362.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,607411.0,495537.0,-1.0,465775.0,466369.0,501113.0,540028.0,437072.0,386106.0,466110.0,318959.0,138870.0,78344.0,296441.0,37235.0,188265.0,301109.0,117878.0,116860.0,104613.0,-1.0,247352.0,240413.0,272210.0,336022.0
ERP010700,1696682.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,793118.0,-1.0,962356.0,975111.0,802412.0,880428.0,693323.0,578819.0,737726.0,455620.0,157135.0,127427.0,349524.0,70509.0,231153.0,453015.0,181851.0,161648.0,144772.0,-1.0,437726.0,428533.0,338269.0,461701.0
ERP012177,1255436.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,609359.0,618504.0,781888.0,659081.0,733888.0,613295.0,755785.0,494796.0,143077.0,100788.0,310912.0,70926.0,202193.0,351633.0,139714.0,131405.0,118482.0,-1.0,288740.0,281844.0,316368.0,472793.0
ERP012929,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ERP012929a,1357583.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1034118.0,675700.0,689983.0,564250.0,508759.0,650419.0,394084.0,134220.0,139051.0,308482.0,60685.0,194189.0,452760.0,166804.0,143240.0,130096.0,-1.0,455354.0,446809.0,294449.0,412504.0
ERP012929b,1366469.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,678838.0,695710.0,556961.0,500952.0,643894.0,397545.0,139281.0,135043.0,311394.0,62947.0,195766.0,455451.0,173034.0,152169.0,133465.0,-1.0,451846.0,439330.0,297151.0,411654.0
ERP013562,1271403.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,671359.0,756347.0,654719.0,813006.0,513986.0,148531.0,112416.0,312898.0,82648.0,216778.0,376170.0,165488.0,150798.0,133928.0,-1.0,311231.0,306365.0,324602.0,497572.0
ERP013933,1239853.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,587242.0,504713.0,629725.0,400242.0,148064.0,108709.0,327519.0,49929.0,210378.0,389456.0,140222.0,134283.0,122714.0,-1.0,348481.0,344572.0,321035.0,413461.0
ERP016813,1104555.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,626197.0,729930.0,502580.0,145332.0,94665.0,296628.0,69370.0,205328.0,330714.0,137416.0,132278.0,121016.0,-1.0,258151.0,253956.0,309533.0,477453.0
SRP008047,923465.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,648663.0,448024.0,134876.0,87949.0,273507.0,67126.0,196080.0,290146.0,133536.0,128094.0,116711.0,-1.0,250885.0,248617.0,284101.0,433211.0
SRP011011,1200161.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,493271.0,142316.0,106275.0,290734.0,77503.0,208288.0,357126.0,153544.0,142722.0,127456.0,-1.0,305963.0,298262.0,307684.0,471445.0
SRP045211,831233.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,135166.0,80219.0,239158.0,65877.0,174505.0,251877.0,122834.0,127075.0,106275.0,-1.0,189735.0,184401.0,259627.0,375724.0
SRP056054,269703.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38741.0,98159.0,22973.0,112128.0,97395.0,68147.0,72402.0,69074.0,-1.0,82145.0,78376.0,100400.0,118176.0
SRP066479,241161.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58223.0,22843.0,46061.0,121955.0,36838.0,37157.0,32245.0,-1.0,84527.0,82028.0,62183.0,81127.0
SRP067325,499475.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24004.0,120407.0,217844.0,77349.0,80493.0,73385.0,-1.0,174662.0,167502.0,201691.0,261942.0
SRP069019,157644.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39288.0,46253.0,41482.0,40064.0,31952.0,-1.0,30911.0,34749.0,37595.0,44522.0
SRP076620,381538.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,129907.0,109590.0,111836.0,102189.0,-1.0,112471.0,109933.0,135754.0,157570.0
SRP080787,716386.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97863.0,91642.0,85332.0,-1.0,226006.0,220405.0,194189.0,267616.0
SRP090628,288525.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,158269.0,131100.0,-1.0,106316.0,101859.0,91569.0,106148.0
SRP090628a,256836.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98899.0,-1.0,92788.0,91416.0,98820.0,107662.0
SRP090628b,224950.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83814.0,78593.0,82126.0,94389.0
SRP096283,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SRP096283a,617699.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,378075.0,180653.0,214078.0
SRP096283b,602416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,173874.0,209402.0
SRP100446,467109.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,246267.0
SRP100575,692669.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
