Name,Total_ct,ERP002469,ERP003612,ERP004605,ERP005534,ERP005860,ERP005989,ERP008729,ERP009131,ERP010700,ERP012177,ERP012929,ERP012929a,ERP012929b,ERP013562,ERP013933,ERP016813,SRP008047,SRP011011,SRP045211,SRP056054,SRP066479,SRP067325,SRP069019,SRP076620,SRP080787,SRP090628,SRP090628a,SRP090628b,SRP096283,SRP096283a,SRP096283b,SRP100446,SRP100575
ERP002469,1062188.0,-1.0,721528.0,783868.0,720496.0,464993.0,646562.0,718863.0,451617.0,807450.0,569505.0,-1.0,699576.0,717752.0,555992.0,632277.0,491474.0,429405.0,517416.0,358161.0,134586.0,179682.0,296453.0,44359.0,209046.0,369209.0,168516.0,139178.0,143542.0,-1.0,409475.0,417398.0,331033.0,370958.0
ERP003612,1472776.0,-1.0,-1.0,1106793.0,911721.0,561536.0,764760.0,835302.0,546163.0,1060397.0,670130.0,-1.0,953651.0,973500.0,678217.0,789650.0,563612.0,508216.0,650819.0,396829.0,145888.0,207633.0,336929.0,45533.0,239897.0,495777.0,193141.0,155115.0,154078.0,-1.0,497341.0,503270.0,351589.0,439507.0
ERP004605,1776254.0,-1.0,-1.0,-1.0,1049881.0,649904.0,883674.0,982652.0,597587.0,1195217.0,788897.0,-1.0,1047558.0,1078366.0,830711.0,879132.0,688011.0,589157.0,766548.0,482038.0,159943.0,231004.0,348737.0,73231.0,278051.0,537171.0,230443.0,186178.0,184672.0,-1.0,530544.0,539414.0,390548.0,494365.0
ERP005534,1444853.0,-1.0,-1.0,-1.0,-1.0,592495.0,788711.0,894400.0,535890.0,1020462.0,718293.0,-1.0,869978.0,908079.0,740860.0,798752.0,623735.0,534924.0,672883.0,434740.0,145825.0,205536.0,329524.0,66895.0,247553.0,470378.0,206858.0,172335.0,168404.0,-1.0,466405.0,474691.0,369638.0,454587.0
ERP005860,1060148.0,-1.0,-1.0,-1.0,-1.0,-1.0,573721.0,582082.0,414780.0,629673.0,637632.0,-1.0,586268.0,594443.0,696512.0,548742.0,622118.0,565709.0,673440.0,458756.0,135801.0,162002.0,280817.0,80389.0,237155.0,366464.0,180831.0,155085.0,152098.0,-1.0,334966.0,346195.0,317692.0,475325.0
ERP005989,1300180.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,827893.0,547722.0,888984.0,682625.0,-1.0,718547.0,751732.0,714566.0,736874.0,622799.0,530791.0,656509.0,461029.0,167047.0,174316.0,339060.0,94247.0,296874.0,406618.0,232185.0,193487.0,198213.0,-1.0,397372.0,397850.0,392026.0,452250.0
ERP008729,1435495.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,559450.0,988202.0,745999.0,-1.0,788756.0,823209.0,725425.0,777808.0,643899.0,537491.0,662572.0,467686.0,160589.0,191365.0,343163.0,72936.0,262300.0,450039.0,204747.0,175989.0,176613.0,-1.0,420738.0,437802.0,389098.0,457902.0
ERP009131,993381.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,607984.0,511769.0,-1.0,489190.0,509480.0,516078.0,543710.0,447636.0,393254.0,480730.0,345429.0,141320.0,133683.0,302285.0,42680.0,235111.0,337381.0,152461.0,136064.0,132636.0,-1.0,287718.0,293820.0,321523.0,359282.0
ERP010700,1691110.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,794077.0,-1.0,1002682.0,1038023.0,792890.0,876372.0,682132.0,567612.0,734761.0,458911.0,159730.0,204166.0,353998.0,73917.0,272495.0,505840.0,221048.0,178637.0,180099.0,-1.0,512629.0,520871.0,391065.0,477621.0
ERP012177,1295630.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,648826.0,681227.0,783967.0,670391.0,729856.0,607042.0,759150.0,504989.0,143129.0,166472.0,313815.0,78474.0,244770.0,401398.0,173893.0,147388.0,150374.0,-1.0,347318.0,357262.0,366540.0,498310.0
