Name,Total_ct,ERP002469,ERP003612,ERP004605,ERP005534,ERP005860,ERP005989,ERP008729,ERP009131,ERP010700,ERP012177,ERP012929,ERP012929a,ERP012929b,ERP013562,ERP013933,ERP016813,SRP008047,SRP011011,SRP045211,SRP056054,SRP066479,SRP067325,SRP069019,SRP076620,SRP080787,SRP090628,SRP090628a,SRP090628b,SRP096283,SRP096283a,SRP096283b,SRP100446,SRP100575
ERP002469,801272.0,-1.0,655853.0,718045.0,670759.0,417712.0,601456.0,664002.0,392857.0,727998.0,509840.0,690634.0,652653.0,671020.0,508007.0,576764.0,446355.0,381602.0,480422.0,338399.0,86247.0,123123.0,253397.0,37389.0,148782.0,335585.0,121416.0,96275.0,106966.0,407265.0,379577.0,381084.0,266442.0,327402.0
ERP003612,1421093.0,-1.0,-1.0,1196592.0,945990.0,569504.0,799719.0,827365.0,557651.0,1136670.0,660754.0,1112805.0,1018311.0,1049233.0,697118.0,815680.0,568229.0,508181.0,675144.0,417665.0,102352.0,150552.0,294037.0,43134.0,187327.0,489559.0,154541.0,116725.0,131131.0,545817.0,480297.0,477389.0,296537.0,423200.0
ERP004605,1774997.0,-1.0,-1.0,-1.0,1111562.0,653044.0,934599.0,986037.0,605212.0,1307254.0,783757.0,1268568.0,1136573.0,1171414.0,848597.0,922228.0,677773.0,567704.0,810489.0,485221.0,107669.0,172025.0,298868.0,65394.0,223776.0,535071.0,181168.0,137550.0,146449.0,605049.0,522447.0,512838.0,317210.0,460424.0
ERP005534,1332499.0,-1.0,-1.0,-1.0,-1.0,582507.0,813742.0,884640.0,530995.0,1051919.0,708754.0,1008351.0,919332.0,958007.0,745775.0,819451.0,607284.0,512242.0,703908.0,442500.0,95804.0,149767.0,282144.0,57432.0,195319.0,467008.0,165885.0,125234.0,132246.0,524503.0,465963.0,462450.0,300276.0,422433.0
ERP005860,861117.0,-1.0,-1.0,-1.0,-1.0,-1.0,582186.0,534598.0,396439.0,614356.0,607695.0,628572.0,592084.0,600394.0,694557.0,531570.0,598476.0,549051.0,679851.0,448678.0,96464.0,123834.0,241334.0,69649.0,193558.0,337405.0,148547.0,116337.0,123062.0,373766.0,343572.0,342411.0,262784.0,442616.0
ERP005989,1223918.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,790756.0,514474.0,917097.0,657955.0,837351.0,774780.0,805835.0,730265.0,719488.0,607103.0,507750.0,679854.0,458469.0,113814.0,134635.0,279873.0,107565.0,249909.0,389158.0,196968.0,149453.0,158327.0,470636.0,428965.0,428405.0,308227.0,412768.0
ERP008729,1236625.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,498814.0,992958.0,686757.0,871014.0,800735.0,839990.0,699086.0,729702.0,590902.0,478513.0,651270.0,436784.0,97265.0,136163.0,276124.0,63629.0,194026.0,424599.0,153468.0,123161.0,127868.0,447196.0,406931.0,411146.0,302272.0,392336.0
ERP009131,842428.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,612710.0,447817.0,549668.0,511118.0,531337.0,480699.0,502007.0,390660.0,358632.0,451855.0,300191.0,90508.0,94912.0,230414.0,36717.0,168546.0,315475.0,123901.0,98249.0,108752.0,337896.0,319814.0,321757.0,239012.0,314058.0
ERP010700,1748330.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,765051.0,1229296.0,1086202.0,1136745.0,806524.0,899972.0,652516.0,542938.0,758162.0,456512.0,106243.0,151778.0,294412.0,69250.0,218434.0,497394.0,175575.0,134933.0,141812.0,572082.0,501570.0,498193.0,316100.0,433108.0
ERP012177,1031616.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,701084.0,647733.0,671450.0,770933.0,639517.0,683387.0,558170.0,755907.0,474113.0,93138.0,119194.0,252712.0,64778.0,181553.0,367187.0,129996.0,105429.0,113722.0,374919.0,352791.0,346351.0,289357.0,433517.0
ERP012929,1730884.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1347501.0,1389227.0,786155.0,822458.0,624639.0,546491.0,757207.0,457862.0,102037.0,178322.0,292887.0,63694.0,200870.0,530566.0,172859.0,128623.0,134176.0,634405.0,532898.0,524309.0,303202.0,437412.0
ERP012929a,1418657.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1199130.0,718560.0,755712.0,579534.0,519914.0,697716.0,434873.0,101401.0,171701.0,289194.0,50699.0,195041.0,496227.0,164036.0,125428.0,132444.0,583842.0,503016.0,499757.0,292327.0,424803.0
ERP012929b,1487807.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,744212.0,779283.0,597568.0,530925.0,713978.0,449613.0,103193.0,169970.0,295854.0,53082.0,193524.0,509123.0,166063.0,126132.0,132934.0,586032.0,509340.0,501129.0,298117.0,435212.0
ERP013562,1162572.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,666866.0,722114.0,603492.0,836488.0,504182.0,99760.0,134734.0,260023.0,77873.0,204415.0,396654.0,150595.0,119754.0,123308.0,420137.0,377193.0,380409.0,300713.0,465165.0
ERP013933,1101707.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,561675.0,476246.0,641154.0,389413.0,97993.0,123419.0,276150.0,46438.0,192919.0,414645.0,142965.0,111700.0,123560.0,465692.0,422027.0,424070.0,294079.0,391831.0
ERP016813,886875.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,561927.0,719617.0,466510.0,94841.0,109430.0,240196.0,66660.0,185865.0,330082.0,139179.0,111517.0,117459.0,338351.0,317523.0,315206.0,284030.0,433437.0
SRP008047,707632.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,611156.0,417780.0,92966.0,108140.0,231034.0,56881.0,175669.0,294285.0,133592.0,109070.0,115653.0,334326.0,311494.0,311332.0,264495.0,403262.0
SRP011011,1095893.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,494833.0,99942.0,135368.0,248814.0,68507.0,203772.0,379975.0,151247.0,120572.0,126796.0,415199.0,375393.0,373644.0,290010.0,457646.0
