Name,Ref,ERP002469,ERP003612,ERP004605,ERP005534,ERP005860,ERP005989,ERP008729,ERP009131,ERP010700,ERP012177,ERP012929,ERP012929a,ERP012929b,ERP013562,ERP013933,ERP016813,SRP008047,SRP011011,SRP045211,SRP056054,SRP066479,SRP067325,SRP069019,SRP076620,SRP080787,SRP090628,SRP090628a,SRP090628b,SRP096283,SRP096283a,SRP096283b,SRP100446,SRP100575
ERP002469,0.490786737873,-1.0,0.7313065626569165,0.6545738118187912,0.6794638375995976,0.5885551311972923,0.5863064226699448,0.6047107566280625,0.4681107987313228,0.6553438465974231,0.557292417608623,-1.0,0.7516348503340798,0.7671682283142611,0.6336613093431639,0.6832813365585609,0.6272532161795505,0.6497789501609766,0.6786537583339138,0.5637982366113113,0.7838555191284027,0.6200682783955883,0.6463795765459946,0.5258217316274392,0.7266092286005089,0.5541602665550972,0.7908055505893059,0.7327668616513714,0.8124748430324975,-1.0,0.8393594629628984,0.8417861485847403,0.46296113038036296,0.6532884157643842
ERP003612,0.761670190973,-1.0,-1.0,0.8836896887791186,0.8921663440178192,0.7555163756745515,0.8970539455645883,0.8321493858044903,0.6294362016956557,0.9068654564167233,0.7959700340150353,-1.0,0.9237928982432897,0.9250994654354,0.882717370055394,0.8614010223849108,0.8745732795668594,0.7998406522347655,0.8848432845238166,0.813929760669843,0.9032085955281314,0.6861077752802356,0.7310856143834756,0.8154622167746931,0.8995615823665472,0.7046622111948826,0.9219184241440905,0.8888084560987898,0.9104948087778558,-1.0,0.9397112407155656,0.9294808722344062,0.6036248643879123,0.8526954634844861
ERP004605,0.697150932843,-1.0,-1.0,-1.0,0.8135920459735234,0.6716486820125117,0.8179275678876162,0.7608225510480559,0.5877802278155299,0.8664559471381817,0.7552119250277749,-1.0,0.8818771809015059,0.8854321244122679,0.7924481024262587,0.7902529172235193,0.7886986435511167,0.7066782770507763,0.8095086031186082,0.7518118262550174,0.8762022191357312,0.6536202539791045,0.7113018190639679,0.7367895423421893,0.7784229733158231,0.6631356289203216,0.8341946593638783,0.8284375239675019,0.8578045207273689,-1.0,0.9068218929976959,0.9105329886164055,0.4996016907596704,0.8112380755345022
ERP005534,0.746998193056,-1.0,-1.0,-1.0,-1.0,0.7134685889349853,0.8565712150784427,0.7864003447388566,0.5806062184112614,0.8821766726325941,0.7672648816218877,-1.0,0.890051147001097,0.9010790261372995,0.8145474786132187,0.8125262046694297,0.8218924666931815,0.7237166336712455,0.8516771937468205,0.771344079186932,0.8770972173758519,0.6826603614078492,0.7201389909200921,0.8168355250618771,0.8508789202660696,0.6664513087201316,0.883323155082767,0.8565696119141789,0.8790089746699264,-1.0,0.9264878920893664,0.9166947838182649,0.4905308726736399,0.8140974388577139
ERP005860,0.690158093486,-1.0,-1.0,-1.0,-1.0,-1.0,0.7191861951348645,0.638920596026408,0.5882393387837788,0.6995261060087596,0.6811425523240722,-1.0,0.7691397018339555,0.7376302893603878,0.7291358082965708,0.732905023985415,0.7490419586242645,0.6963644026089351,0.7541385141021454,0.7435316245534259,0.8442967180061548,0.6433315610270569,0.6829507839104758,0.7526167141798706,0.7427360669392147,0.6107204906037926,0.8008090418757654,0.7650482329907733,0.8418433092129329,-1.0,0.8759891103820333,0.8598778926300843,0.5623844420013717,0.7151674435342659
ERP005989,0.713100362898,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7884251108070114,0.6135852782082064,0.8896219925369386,0.8177638163697702,-1.0,0.9035724267020449,0.8738971842427227,0.8527811016359161,0.8138734683606939,0.8400482946277957,0.7362231323079702,0.8638005835914149,0.7632707940127472,0.8723739761012902,0.6907001412391806,0.7043366856276057,0.7633081787512302,0.8428052113829445,0.6316713691819441,0.8979753748235163,0.8405200496102471,0.8764832360613994,-1.0,0.9217650947773343,0.9111747517961589,0.49840135751220893,0.7926460623752197
ERP008729,0.669612987757,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5491337041618699,0.817299347474128,0.7219530819503076,-1.0,0.8377770521412345,0.839241513316578,0.7585017552081212,0.7590913618808245,0.7594806656068646,0.6736662890095724,0.781629563929688,0.6979802956438621,0.8080434661973397,0.6259480758813213,0.6689800342698469,0.679981720905092,0.7579384998059843,0.5925335451693376,0.8260475173090599,0.7831475036155818,0.8295220767897554,-1.0,0.8629522750543782,0.8602399511315229,0.4988079764114787,0.7360715241266788
ERP009131,0.640808872715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.570811684962127,0.5097309535264518,-1.0,0.6453911991914593,0.6513881543843212,0.6235043357958028,0.5919643809235781,0.6530750864923452,0.6244451389457917,0.618440056381696,0.6414142521302945,0.7928026632146681,0.5312694689297506,0.556818116929327,0.7043432687851738,0.7592493095023459,0.5069422692883959,0.7818930345486647,0.7560746657760984,0.7981812450097627,-1.0,0.7586400323189442,0.6770926820336689,0.48966581462068814,0.688946266798253
ERP010700,0.743981562092,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7948434353887517,-1.0,0.9128782828390976,0.917066884500369,0.8502566546769617,0.8376812211660773,0.8410391000139211,0.746632324802389,0.8651837128601491,0.7808280267963996,0.8917571007173097,0.6483382387940854,0.7236349595489395,0.7933231442937587,0.8615131931065257,0.652855489731934,0.9093945397259509,0.8787177582656482,0.8891468136844781,-1.0,0.9367575060522972,0.9328771814434142,0.5144615641254204,0.8222083506297319
ERP012177,0.66904172121,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8345582714957623,0.8098166930191552,0.7954541402168739,0.7761908915678604,0.812171802956971,0.7014057938668936,0.8169485704682569,0.7570159547551099,0.8510652448098792,0.6537984666130066,0.6770851612238575,0.7608389153941857,0.8087364847741354,0.6069968205390897,0.8785520957042419,0.8484423077271318,0.8498942266041171,-1.0,0.912391333739306,0.8767079332272616,0.5091929713475154,0.7702219132488347
ERP012929,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ERP012929a,0.7810310885,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9337778379227386,0.900894920250109,0.8651633485836802,0.8854747803438617,0.7987801883449629,0.8891737853913955,0.8305306821512375,0.9125020123258673,0.6907349118555106,0.7584367220296945,0.8229594423275856,0.8700431426719927,0.7502815290867793,0.927205076833845,0.8916763334492138,0.9230391119909308,-1.0,0.9451054170880139,0.9544950930158413,0.6162271705428207,0.8662444197245165
ERP012929b,0.74182315659,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8545131030067808,0.8728876572383882,0.8619993692950897,0.7780006410624897,0.8583020559166774,0.7980246201469428,0.9064002981768198,0.671743253103107,0.7463504115225825,0.5495943208623132,0.8622369535934379,0.7411258465300379,0.8343503103781669,0.8308309766206114,0.8183618320082362,-1.0,0.9322977136791312,0.9407026979135051,0.5716117043507682,0.8414969400939168
ERP013562,0.73916632132,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7942091591221658,0.8150480348259228,0.740406897438585,0.8648688124114389,0.8031998485681469,0.8850620844223295,0.7018215339561649,0.7178919258532888,0.8372749582732413,0.8437674510571725,0.6446488536691619,0.8818319458080867,0.8706807711709095,0.8801051895038581,-1.0,0.9458710260852524,0.9248856673658625,0.5164976222862607,0.8360589301940082
ERP013933,0.715605192444,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8006882860280168,0.7322183250973233,0.8167695712207529,0.756971708921341,0.8639423704957411,0.6842821144501853,0.7003210128631151,0.7629903490243223,0.802019319919736,0.6787440242935134,0.8637450717536559,0.8270835236518587,0.8824522733920844,-1.0,0.9079467633622139,0.9113801328390965,0.521649714994618,0.8212642334307725
ERP016813,0.722097336528,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7338072780947469,0.8499075766449887,0.7865199155000873,0.8659320078278389,0.6808576252887032,0.7124165277198273,0.790693494457953,0.8180358458333238,0.637625428968424,0.890820984934888,0.8641714146574604,0.8598266437111607,-1.0,0.9192447436214451,0.9103323776062467,0.5282726165226896,0.7952336158936112
SRP008047,0.616748872582,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7314171384505734,0.720986980176972,0.8347098018036848,0.6521961399652576,0.7445237875351085,0.6635566749365702,0.74817724855056,0.6620116617211288,0.8307232771538138,0.7984880312088459,0.8223082161435319,-1.0,0.9151176326206115,0.8838476482923618,0.5658143771248518,0.7599352686242099
SRP011011,0.715180525538,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7893196714757534,0.8628336732979035,0.6936333077920172,0.7190402860087475,0.7889385197757417,0.8446479150658347,0.631084890854985,0.8995532490468964,0.8725193365334587,0.8720239861125354,-1.0,0.9297207296849046,0.9182172770493379,0.5388180565428713,0.81902759733185
SRP045211,0.651809962142,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7949211478187408,0.6535164310271729,0.6776430167636891,0.7349774468308063,0.7849828546630302,0.5908170944978355,0.839733737419937,0.7835086979032224,0.8283963124910615,-1.0,0.8950398402188934,0.8811812217052941,0.5233192864968499,0.74871149640541
SRP056054,0.636687441579,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7368434702010845,0.7801088011149634,0.7667635404959546,0.8898390141473468,0.7499969291039426,0.9171894771498355,0.8837235967272599,0.8961242494201573,-1.0,0.9289649901500693,0.9112410697844789,0.7577418219317044,0.8357286611382799
SRP066479,0.607250291347,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6536890124052784,0.6201329456246089,0.6961531086897491,0.6525386310267138,0.7312722106916076,0.7146227661747458,0.6973209152441846,-1.0,0.7229005478810125,0.7229776759236094,0.5920813173205921,0.686596065770356
SRP067325,0.570197273634,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.709034805807786,0.7613062696608631,0.6434167558733009,0.7884447700315949,0.7844734397572362,0.7962552419435834,-1.0,0.8057201770658206,0.7813921656351642,0.602179594598702,0.717926354073808
SRP069019,0.643887756902,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7403659087590221,0.6973213282145729,0.8366287542508063,0.7966660932344422,0.8197300982477198,-1.0,0.8268385793392911,0.8156520825445038,0.699338858510938,0.6820480232101869
SRP076620,0.649814565093,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6719925703784863,0.8716719665182476,0.8600786191003381,0.8971926081347382,-1.0,0.9063765658799486,0.8813149467332814,0.7160430739289446,0.8188833801251938
SRP080787,0.630054486658,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8073001220056928,0.7798524651833606,0.8088868740402836,-1.0,0.89020536269732,0.863722023348786,0.5415569328039296,0.7021083830136783
SRP090628,0.758283725421,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.957707324142523,0.956958515254345,-1.0,0.9560661398770088,0.9396136368227042,0.7778011964466592,0.8836069496157907
SRP090628a,0.756063112897,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9076480533269087,-1.0,0.9242381470874129,0.9122937249976198,0.7467665236883746,0.8656077602937992
SRP090628b,0.736581008725,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9303251523639003,0.9174564913845858,0.7728958869927688,0.8468355003543411
SRP096283,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SRP096283a,0.843752949028,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9553197115966969,0.7485502736744541,0.9072803832374353
